fid,cngmeters,X,Y
"25",400.000000000000000,"729256","9063958"
"25",500.000000000000000,"729250","9063851"
"25",600.000000000000000,"729210","9063750"
"25",700.000000000000000,"729164","9063654"
"25",800.000000000000000,"729060","9063535"
"27",0.000000000000000,"733266","9067545"
"27",100.000000000000000,"733372","9067609"
"27",200.000000000000000,"733471","9067623"
"27",300.000000000000000,"733570","9067630"
"27",400.000000000000000,"733670","9067620"
"27",500.000000000000000,"733769","9067618"
"31",0.000000000000000,"733182","9067645"
"31",100.000000000000000,"733105","9067678"
"31",200.000000000000000,"733013","9067702"
"31",300.000000000000000,"732915","9067742"
"32",0.000000000000000,"738611","9066876"
"32",100.000000000000000,"738512","9066915"
"32",200.000000000000000,"738441","9066975"
