DateTime,Hs,Dir,Windx,Windy,peakdir,peakperiod,meanperiod
2023-06-25 04:00:00,1.12192,67.52452,-5.738746,2.361295,75.0,8.041783,3.9296956
2023-06-25 05:00:00,1.1192335,67.744,-6.096551,2.5199022,75.0,8.041783,3.8958435
2023-06-25 06:00:00,1.1176683,68.036194,-6.454342,2.6785035,75.0,8.041783,3.8858416
2023-06-25 07:00:00,1.1172088,68.31557,-6.620687,2.4723163,75.0,8.041783,3.8458576
2023-06-25 08:00:00,1.1165699,68.57991,-6.7787023,2.262856,75.0,8.041783,3.8193536
2023-06-25 09:00:00,1.1159781,68.80521,-6.928503,2.0506537,75.0,8.041783,3.7764392
2023-06-25 10:00:00,1.116432,69.0226,-7.071391,1.9589125,75.0,8.041783,3.7672727
2023-06-25 11:00:00,1.117121,69.22278,-7.212179,1.8665712,64.999985,8.041783,3.7366605
2023-06-25 12:00:00,1.119246,69.44202,-7.3509474,1.7737073,64.999985,8.041783,3.7280655
2023-06-25 13:00:00,1.1219455,69.65683,-7.255179,1.9530264,64.999985,8.041783,3.712833
2023-06-25 14:00:00,1.1249452,69.88019,-7.154348,2.131056,64.999985,8.041783,3.7182603
2023-06-25 15:00:00,1.128714,70.107056,-7.048412,2.3075652,64.999985,8.041783,3.7139347
2023-06-25 16:00:00,1.1326447,70.30237,-7.118489,2.2020206,64.999985,8.041783,3.709294
2023-06-25 17:00:00,1.1374432,70.50804,-7.1866765,2.095875,64.999985,8.041783,3.7198784
2023-06-25 18:00:00,1.1434082,70.72276,-7.252986,1.989182,64.999985,8.041783,3.7168999
2023-06-25 19:00:00,1.1491739,70.90195,-7.1051545,2.0267525,64.999985,8.041783,3.7359376
2023-06-25 20:00:00,1.1549022,71.052414,-6.956557,2.0641093,64.999985,8.041783,3.738469
2023-06-25 21:00:00,1.1601635,71.174515,-6.807152,2.1012266,64.999985,8.041783,3.7583423
2023-06-25 22:00:00,1.164453,71.21896,-6.7819266,1.9348559,64.999985,8.041783,3.7672734
2023-06-25 23:00:00,1.1684624,71.25581,-6.7535152,1.7675374,64.999985,8.041783,3.7811317
2023-06-26 00:00:00,1.170913,71.23575,-6.721789,1.5993509,64.999985,8.041783,3.7889569
2023-06-26 01:00:00,1.1732899,71.27196,-6.5757685,1.9747486,64.999985,8.041783,3.8027725
2023-06-26 02:00:00,1.1733148,71.239365,-6.4069943,2.3440533,64.999985,8.041783,3.806921
2023-06-26 03:00:00,1.173236,71.2628,-6.215642,2.7050974,64.999985,8.041783,3.8155649
2023-06-26 04:00:00,1.171657,71.21947,-6.3109937,2.8251603,64.999985,8.041783,3.8155859
2023-06-26 05:00:00,1.1705797,71.24686,-6.4056864,2.9449317,64.999985,8.041783,3.8092291
2023-06-26 06:00:00,1.1684852,71.22308,-6.4997597,3.0644186,64.999985,8.041783,3.807703
2023-06-26 07:00:00,1.1665626,71.23926,-6.5553412,2.9234526,64.999985,8.041783,3.794947
2023-06-26 08:00:00,1.1639447,71.21237,-6.608021,2.7811553,64.999985,8.041783,3.7986927
2023-06-26 09:00:00,1.1615493,71.214386,-6.6577454,2.637615,64.999985,8.041783,3.7859764
2023-06-26 10:00:00,1.1589445,71.186646,-6.77688,2.418624,64.999985,8.041783,3.7879894
2023-06-26 11:00:00,1.1565909,71.18527,-6.888115,2.1966631,75.0,8.041783,3.7750647
2023-06-26 12:00:00,1.1542834,71.17377,-6.991421,1.9721735,75.0,8.041783,3.7771225
2023-06-26 13:00:00,1.1518413,71.16617,-6.7829256,2.0031655,75.0,7.3147573,3.764994
2023-06-26 14:00:00,1.1493236,71.13629,-6.5733585,2.033849,75.0,6.6534595,3.7693725
2023-06-26 15:00:00,1.147028,71.10672,-6.362633,2.0641742,75.0,6.6534595,3.762335
2023-06-26 16:00:00,1.1456051,71.08354,-6.5298233,2.0576627,75.0,6.6534595,3.765439
2023-06-26 17:00:00,1.1446363,71.0802,-6.6965694,2.0510094,75.0,6.6534595,3.7560952
2023-06-26 18:00:00,1.1443405,71.072815,-6.8629003,2.0442288,75.0,6.6534595,3.7576005
2023-06-26 19:00:00,1.1437929,71.05966,-6.7110696,1.9057636,75.0,6.6534595,3.7509527
2023-06-26 20:00:00,1.1434494,71.013306,-6.5580797,1.7669604,75.0,6.6534595,3.7529755
2023-06-26 21:00:00,1.1425676,70.943085,-6.403827,1.6278167,75.0,6.6534595,3.756612
2023-06-26 22:00:00,1.1416823,70.831726,-6.282527,1.46462,75.0,6.6534595,3.7644403
2023-06-26 23:00:00,1.1401924,70.70708,-6.1586237,1.3007857,75.0,6.6534595,3.7792873
2023-06-27 00:00:00,1.1392304,70.57274,-6.031898,1.1363555,75.0,6.6534595,3.7822428
2023-06-27 01:00:00,1.1376234,70.452286,-5.9169855,1.125419,75.0,6.6534595,3.7864327
2023-06-27 02:00:00,1.1362731,70.30913,-5.802055,1.114479,75.0,6.6534595,3.7974966
2023-06-27 03:00:00,1.1341245,70.16951,-5.6871057,1.1035354,75.0,6.6534595,3.810977
2023-06-27 04:00:00,1.13256,70.03905,-5.8027754,1.2587461,75.0,6.6534595,3.8176858
2023-06-27 05:00:00,1.1305532,69.92085,-5.915777,1.4134052,75.0,6.6534595,3.822862
2023-06-27 06:00:00,1.1294307,69.84541,-6.026311,1.5674745,75.0,6.6534595,3.824415
2023-06-27 07:00:00,1.1277713,69.77814,-6.1671767,1.4235868,75.0,6.6534595,3.8211548
