datetime,height
2023-06-14 15:33:00,0.73956764
2023-06-14 15:34:00,0.7371832
2023-06-14 15:35:00,0.7347522
2023-06-14 15:36:00,0.73227465
2023-06-14 15:37:00,0.72975075
2023-06-14 15:38:00,0.7271808
2023-06-14 15:39:00,0.7245648
2023-06-14 15:40:00,0.721903
2023-06-14 15:41:00,0.71919554
2023-06-14 15:42:00,0.71644264
2023-06-14 15:43:00,0.7136445
2023-06-14 15:44:00,0.71080124
2023-06-14 15:45:00,0.70791316
2023-06-14 15:46:00,0.7049803
2023-06-14 15:47:00,0.70200294
2023-06-14 15:48:00,0.6989812
2023-06-14 15:49:00,0.69591546
2023-06-14 15:50:00,0.69280577
2023-06-14 15:51:00,0.6896524
2023-06-14 15:52:00,0.6864555
2023-06-14 15:53:00,0.6832153
2023-06-14 15:54:00,0.6799321
2023-06-14 15:55:00,0.676606
2023-06-14 15:56:00,0.6732373
2023-06-14 15:57:00,0.6698262
2023-06-14 15:58:00,0.666373
2023-06-14 15:59:00,0.6628778
2023-06-14 16:00:00,0.6593409
2023-06-14 16:01:00,0.65576255
2023-06-14 16:02:00,0.65214294
2023-06-14 16:03:00,0.6484824
2023-06-14 16:04:00,0.6447811
2023-06-14 16:05:00,0.64103925
2023-06-14 16:06:00,0.6372573
2023-06-14 16:07:00,0.63343525
2023-06-14 16:08:00,0.6295735
2023-06-14 16:09:00,0.62567234
2023-06-14 16:10:00,0.62173194
2023-06-14 16:11:00,0.6177526
2023-06-14 16:12:00,0.6137346
2023-06-14 16:13:00,0.6096782
2023-06-14 16:14:00,0.60558367
2023-06-14 16:15:00,0.6014513
2023-06-14 16:16:00,0.5972814
2023-06-14 16:17:00,0.59307414
2023-06-14 16:18:00,0.58882993
2023-06-14 16:19:00,0.584549
2023-06-14 16:20:00,0.5802316
2023-06-14 16:21:00,0.5758781
2023-06-14 16:22:00,0.57148874
2023-06-14 16:23:00,0.5670638
2023-06-14 16:24:00,0.5626037
2023-06-14 16:25:00,0.55810857
2023-06-14 16:26:00,0.5535789
2023-06-14 16:27:00,0.54901487
2023-06-14 16:28:00,0.5444168
2023-06-14 16:29:00,0.53978497
2023-06-14 16:30:00,0.5351198
2023-06-14 16:31:00,0.5304215
2023-06-14 16:32:00,0.5256905
2023-06-14 16:33:00,0.5209271
2023-06-14 16:34:00,0.51613146
2023-06-14 16:35:00,0.5113041
2023-06-14 16:36:00,0.5064452
2023-06-14 16:37:00,0.50155526
2023-06-14 16:38:00,0.4966345
2023-06-14 16:39:00,0.49168327
2023-06-14 16:40:00,0.48670188
2023-06-14 16:41:00,0.4816907
2023-06-14 16:42:00,0.47665012
2023-06-14 16:43:00,0.4715804
2023-06-14 16:44:00,0.4664819
2023-06-14 16:45:00,0.46135497
2023-06-14 16:46:00,0.45620003
2023-06-14 16:47:00,0.45101735
2023-06-14 16:48:00,0.44580728
2023-06-14 16:49:00,0.44057024
2023-06-14 16:50:00,0.43530652
2023-06-14 16:51:00,0.4300165
2023-06-14 16:52:00,0.42470056
2023-06-14 16:53:00,0.41935906
2023-06-14 16:54:00,0.41399232
2023-06-14 16:55:00,0.40860078
2023-06-14 16:56:00,0.40318474
2023-06-14 16:57:00,0.3977446
2023-06-14 16:58:00,0.3922807
2023-06-14 16:59:00,0.3867935
2023-06-14 17:00:00,0.38128325
2023-06-14 17:01:00,0.37575042
2023-06-14 17:02:00,0.37019536
2023-06-14 17:03:00,0.36461842
2023-06-14 17:04:00,0.35902005
2023-06-14 17:05:00,0.3534006
2023-06-14 17:06:00,0.34776035
2023-06-14 17:07:00,0.34209985
2023-06-14 17:08:00,0.3364194
2023-06-14 17:09:00,0.3307194
2023-06-14 17:10:00,0.32500026
2023-06-14 17:11:00,0.31926233
2023-06-14 17:12:00,0.31350604
2023-06-14 17:13:00,0.30773175
2023-06-14 17:14:00,0.3019399
2023-06-14 17:15:00,0.29613084
2023-06-14 17:16:00,0.290305
2023-06-14 17:17:00,0.28446275
2023-06-14 17:18:00,0.2786045
2023-06-14 17:19:00,0.27273065
2023-06-14 17:20:00,0.26684162
2023-06-14 17:21:00,0.26093778
2023-06-14 17:22:00,0.25501958
2023-06-14 17:23:00,0.24908738
2023-06-14 17:24:00,0.24314159
2023-06-14 17:25:00,0.23718266
2023-06-14 17:26:00,0.23121093
2023-06-14 17:27:00,0.22522688
2023-06-14 17:28:00,0.21923086
2023-06-14 17:29:00,0.21322331
2023-06-14 17:30:00,0.20720464
2023-06-14 17:31:00,0.20117526
2023-06-14 17:32:00,0.19513558
2023-06-14 17:33:00,0.189086
2023-06-14 17:34:00,0.18302697
2023-06-14 17:35:00,0.17695884
2023-06-14 17:36:00,0.1708821
2023-06-14 17:37:00,0.16479713
2023-06-14 17:38:00,0.15870434
2023-06-14 17:39:00,0.15260418
2023-06-14 17:40:00,0.14649703
2023-06-14 17:41:00,0.1403833
2023-06-14 17:42:00,0.13426346
2023-06-14 17:43:00,0.12813789
2023-06-14 17:44:00,0.12200702
2023-06-14 17:45:00,0.11587126
2023-06-14 17:46:00,0.10973105
2023-06-14 17:47:00,0.103586785
2023-06-14 17:48:00,0.09743891
2023-06-14 17:49:00,0.09128783
2023-06-14 17:50:00,0.08513397
2023-06-14 17:51:00,0.07897775
2023-06-14 17:52:00,0.0728196
2023-06-14 17:53:00,0.06665992
2023-06-14 17:54:00,0.06049916
2023-06-14 17:55:00,0.054337725
2023-06-14 17:56:00,0.048176035
2023-06-14 17:57:00,0.042014517
2023-06-14 17:58:00,0.035853595
2023-06-14 17:59:00,0.029693685
2023-06-14 18:00:00,0.023535209
2023-06-14 18:01:00,0.017378591
2023-06-14 18:02:00,0.011224249
2023-06-14 18:03:00,0.005072607
2023-06-14 18:04:00,-0.0010759147
2023-06-14 18:05:00,-0.0072208964
2023-06-14 18:06:00,-0.013361919
2023-06-14 18:07:00,-0.019498559
2023-06-14 18:08:00,-0.0256304
2023-06-14 18:09:00,-0.031757023
2023-06-14 18:10:00,-0.037878007
2023-06-14 18:11:00,-0.043992933
2023-06-14 18:12:00,-0.050101385
2023-06-14 18:13:00,-0.056202944
2023-06-14 18:14:00,-0.062297195
2023-06-14 18:15:00,-0.06838372
2023-06-14 18:16:00,-0.07446211
2023-06-14 18:17:00,-0.08053193
2023-06-14 18:18:00,-0.086592786
2023-06-14 18:19:00,-0.09264426
2023-06-14 18:20:00,-0.098685935
2023-06-14 18:21:00,-0.10471739
2023-06-14 18:22:00,-0.11073823
2023-06-14 18:23:00,-0.116748035
